"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Азербайджан;03.02.2020;0;0;0;0;0;0
Азербайджан;03.03.2020;3;0;0;0;0;0
Азербайджан;03.04.2020;443;32;5;43;6;0
Азербайджан;04.02.2020;0;0;0;0;0;0
Азербайджан;04.03.2020;3;0;0;0;0;0
Азербайджан;04.04.2020;521;32;5;78;0;0
Азербайджан;05.02.2020;0;0;0;0;0;0
Азербайджан;05.03.2020;6;0;0;3;0;0
Азербайджан;05.04.2020;584;32;7;63;0;2
Азербайджан;06.02.2020;0;0;0;0;0;0
Азербайджан;06.03.2020;6;0;0;0;0;0
Азербайджан;06.04.2020;641;44;7;57;12;0
Азербайджан;07.02.2020;0;0;0;0;0;0
Азербайджан;07.03.2020;9;0;0;3;0;0
Азербайджан;07.04.2020;717;44;8;76;0;1
Азербайджан;08.02.2020;0;0;0;0;0;0
Азербайджан;08.03.2020;9;0;0;0;0;0
Азербайджан;08.04.2020;822;63;8;105;19;0
Азербайджан;09.02.2020;0;0;0;0;0;0
Азербайджан;09.03.2020;9;0;0;0;0;0
Азербайджан;09.04.2020;926;101;9;104;38;1
Азербайджан;10.02.2020;0;0;0;0;0;0
Азербайджан;10.03.2020;11;0;0;2;0;0
Азербайджан;10.04.2020;991;159;10;65;58;1
Азербайджан;11.02.2020;0;0;0;0;0;0
Азербайджан;11.03.2020;11;3;0;0;3;0
Азербайджан;11.04.2020;1058;200;11;67;41;1
Азербайджан;12.02.2020;0;0;0;0;0;0
Азербайджан;12.03.2020;11;3;0;0;0;0
Азербайджан;12.04.2020;1098;250;11;40;50;0
Азербайджан;13.02.2020;0;0;0;0;0;0
Азербайджан;13.03.2020;15;3;1;4;0;1
Азербайджан;13.04.2020;1148;289;12;50;39;1
Азербайджан;14.02.2020;0;0;0;0;0;0
Азербайджан;14.03.2020;15;3;1;0;0;0
Азербайджан;14.04.2020;1197;351;13;49;62;1
Азербайджан;15.02.2020;0;0;0;0;0;0
Азербайджан;15.03.2020;23;6;1;8;3;0
Азербайджан;15.04.2020;1253;404;13;56;53;0
Азербайджан;16.02.2020;0;0;0;0;0;0
Азербайджан;16.03.2020;28;6;1;5;0;0
Азербайджан;16.04.2020;1283;460;15;30;56;2
Азербайджан;17.02.2020;0;0;0;0;0;0
Азербайджан;17.03.2020;28;6;1;0;0;0
Азербайджан;17.04.2020;1340;528;15;57;68;0
Азербайджан;18.02.2020;0;0;0;0;0;0
Азербайджан;18.03.2020;28;6;1;0;0;0
Азербайджан;18.04.2020;1373;590;18;33;62;3
Азербайджан;19.02.2020;0;0;0;0;0;0
Азербайджан;19.03.2020;44;6;1;16;0;0
Азербайджан;19.04.2020;1398;712;19;25;122;1
Азербайджан;20.02.2020;0;0;0;0;0;0
Азербайджан;20.03.2020;44;6;1;0;0;0
Азербайджан;20.04.2020;1436;791;19;38;79;0
Азербайджан;21.02.2020;0;0;0;0;0;0
Азербайджан;21.03.2020;53;11;1;9;5;0
Азербайджан;21.04.2020;1480;865;20;44;74;1
Азербайджан;22.01.2020;0;0;0;0;0;0
Азербайджан;22.02.2020;0;0;0;0;0;0
Азербайджан;22.03.2020;65;10;1;12;-1;0
Азербайджан;22.04.2020;1518;907;20;38;42;0
Азербайджан;23.01.2020;0;0;0;0;0;0
Азербайджан;23.02.2020;0;0;0;0;0;0
Азербайджан;23.03.2020;72;10;1;7;0;0
Азербайджан;23.04.2020;1548;948;20;30;41;0
Азербайджан;24.01.2020;0;0;0;0;0;0
Азербайджан;24.02.2020;0;0;0;0;0;0
Азербайджан;24.03.2020;87;10;1;15;0;0
Азербайджан;24.04.2020;1592;1013;21;44;65;1
Азербайджан;25.01.2020;0;0;0;0;0;0
Азербайджан;25.02.2020;0;0;0;0;0;0
Азербайджан;25.03.2020;93;10;2;6;0;1
Азербайджан;25.04.2020;1617;1080;21;25;67;0
Азербайджан;26.01.2020;0;0;0;0;0;0
Азербайджан;26.02.2020;0;0;0;0;0;0
Азербайджан;26.03.2020;122;15;3;29;5;1
Азербайджан;26.04.2020;1645;1139;21;28;59;0
Азербайджан;27.01.2020;0;0;0;0;0;0
Азербайджан;27.02.2020;0;0;0;0;0;0
Азербайджан;27.03.2020;165;15;3;43;0;0
Азербайджан;27.04.2020;1678;1162;22;33;23;1
Азербайджан;28.01.2020;0;0;0;0;0;0
Азербайджан;28.02.2020;0;0;0;0;0;0
Азербайджан;28.03.2020;182;15;4;17;0;1
Азербайджан;28.04.2020;1717;1221;22;39;59;0
Азербайджан;29.01.2020;0;0;0;0;0;0
Азербайджан;29.02.2020;0;0;0;0;0;0
Азербайджан;29.03.2020;209;15;4;27;0;0
Азербайджан;29.04.2020;1766;1267;23;49;46;1
Азербайджан;30.01.2020;0;0;0;0;0;0
Азербайджан;30.03.2020;273;26;4;64;11;0
Азербайджан;31.01.2020;0;0;0;0;0;0
Азербайджан;31.03.2020;298;26;5;25;0;1
Албания;01.02.2020;0;0;0;0;0;0
