"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Бурунди;11.04.2020;5;0;0;2;0;0
Бурунди;12.02.2020;0;0;0;0;0;0
Бурунди;12.03.2020;0;0;0;0;0;0
Бурунди;12.04.2020;5;0;0;0;0;0
Бурунди;13.02.2020;0;0;0;0;0;0
Бурунди;13.03.2020;0;0;0;0;0;0
Бурунди;13.04.2020;5;0;1;0;0;1
Бурунди;14.02.2020;0;0;0;0;0;0
Бурунди;14.03.2020;0;0;0;0;0;0
Бурунди;14.04.2020;5;0;1;0;0;0
Бурунди;15.02.2020;0;0;0;0;0;0
Бурунди;15.03.2020;0;0;0;0;0;0
Бурунди;15.04.2020;5;0;1;0;0;0
Бурунди;16.02.2020;0;0;0;0;0;0
Бурунди;16.03.2020;0;0;0;0;0;0
Бурунди;16.04.2020;5;0;1;0;0;0
Бурунди;17.02.2020;0;0;0;0;0;0
Бурунди;17.03.2020;0;0;0;0;0;0
Бурунди;17.04.2020;5;0;1;0;0;0
Бурунди;18.02.2020;0;0;0;0;0;0
Бурунди;18.03.2020;0;0;0;0;0;0
Бурунди;18.04.2020;5;0;1;0;0;0
Бурунди;19.02.2020;0;0;0;0;0;0
Бурунди;19.03.2020;0;0;0;0;0;0
Бурунди;19.04.2020;5;0;1;0;0;0
Бурунди;20.02.2020;0;0;0;0;0;0
Бурунди;20.03.2020;0;0;0;0;0;0
Бурунди;20.04.2020;5;4;1;0;4;0
Бурунди;21.02.2020;0;0;0;0;0;0
Бурунди;21.03.2020;0;0;0;0;0;0
Бурунди;21.04.2020;5;4;1;0;0;0
Бурунди;22.01.2020;0;0;0;0;0;0
Бурунди;22.02.2020;0;0;0;0;0;0
Бурунди;22.03.2020;0;0;0;0;0;0
Бурунди;22.04.2020;11;4;1;6;0;0
Бурунди;23.01.2020;0;0;0;0;0;0
Бурунди;23.02.2020;0;0;0;0;0;0
Бурунди;23.03.2020;0;0;0;0;0;0
Бурунди;23.04.2020;11;4;1;0;0;0
Бурунди;24.01.2020;0;0;0;0;0;0
Бурунди;24.02.2020;0;0;0;0;0;0
Бурунди;24.03.2020;0;0;0;0;0;0
Бурунди;24.04.2020;11;4;1;0;0;0
Бурунди;25.01.2020;0;0;0;0;0;0
Бурунди;25.02.2020;0;0;0;0;0;0
Бурунди;25.03.2020;0;0;0;0;0;0
Бурунди;25.04.2020;11;4;1;0;0;0
Бурунди;26.01.2020;0;0;0;0;0;0
Бурунди;26.02.2020;0;0;0;0;0;0
Бурунди;26.03.2020;0;0;0;0;0;0
Бурунди;26.04.2020;11;4;1;0;0;0
Бурунди;27.01.2020;0;0;0;0;0;0
Бурунди;27.02.2020;0;0;0;0;0;0
Бурунди;27.03.2020;0;0;0;0;0;0
Бурунди;27.04.2020;11;4;1;0;0;0
Бурунди;28.01.2020;0;0;0;0;0;0
Бурунди;28.02.2020;0;0;0;0;0;0
Бурунди;28.03.2020;0;0;0;0;0;0
Бурунди;28.04.2020;11;4;1;0;0;0
Бурунди;29.01.2020;0;0;0;0;0;0
Бурунди;29.02.2020;0;0;0;0;0;0
Бурунди;29.03.2020;0;0;0;0;0;0
Бурунди;29.04.2020;11;4;1;0;0;0
Бурунди;30.01.2020;0;0;0;0;0;0
Бурунди;30.03.2020;0;0;0;0;0;0
Бурунди;31.01.2020;0;0;0;0;0;0
Бурунди;31.03.2020;2;0;0;2;0;0
Бутан;01.02.2020;0;0;0;0;0;0
Бутан;01.03.2020;0;0;0;0;0;0
Бутан;01.04.2020;4;0;0;0;0;0
Бутан;02.02.2020;0;0;0;0;0;0
Бутан;02.03.2020;0;0;0;0;0;0
Бутан;02.04.2020;5;1;0;1;1;0
Бутан;03.02.2020;0;0;0;0;0;0
Бутан;03.03.2020;0;0;0;0;0;0
Бутан;03.04.2020;5;2;0;0;1;0
Бутан;04.02.2020;0;0;0;0;0;0
Бутан;04.03.2020;0;0;0;0;0;0
Бутан;04.04.2020;5;2;0;0;0;0
Бутан;05.02.2020;0;0;0;0;0;0
Бутан;05.03.2020;0;0;0;0;0;0
Бутан;05.04.2020;5;2;0;0;0;0
Бутан;06.02.2020;0;0;0;0;0;0
Бутан;06.03.2020;1;0;0;1;0;0
Бутан;06.04.2020;5;2;0;0;0;0
Бутан;07.02.2020;0;0;0;0;0;0
Бутан;07.03.2020;1;0;0;0;0;0
Бутан;07.04.2020;5;2;0;0;0;0
Бутан;08.02.2020;0;0;0;0;0;0
Бутан;08.03.2020;1;0;0;0;0;0
Бутан;08.04.2020;5;2;0;0;0;0
Бутан;09.02.2020;0;0;0;0;0;0
Бутан;09.03.2020;1;0;0;0;0;0
Бутан;09.04.2020;5;2;0;0;0;0
Бутан;10.02.2020;0;0;0;0;0;0
Бутан;10.03.2020;1;0;0;0;0;0
Бутан;10.04.2020;5;2;0;0;0;0
Бутан;11.02.2020;0;0;0;0;0;0
Бутан;11.03.2020;1;0;0;0;0;0
Бутан;11.04.2020;5;2;0;0;0;0
Бутан;12.02.2020;0;0;0;0;0;0
Бутан;12.03.2020;1;0;0;0;0;0
Бутан;12.04.2020;5;2;0;0;0;0
Бутан;13.02.2020;0;0;0;0;0;0
Бутан;13.03.2020;1;0;0;0;0;0
Бутан;13.04.2020;5;2;0;0;0;0
Бутан;14.02.2020;0;0;0;0;0;0
Бутан;14.03.2020;1;0;0;0;0;0
Бутан;14.04.2020;5;2;0;0;0;0
Бутан;15.02.2020;0;0;0;0;0;0
Бутан;15.03.2020;1;0;0;0;0;0
Бутан;15.04.2020;5;2;0;0;0;0
Бутан;16.02.2020;0;0;0;0;0;0
Бутан;16.03.2020;1;0;0;0;0;0
Бутан;16.04.2020;5;2;0;0;0;0
Бутан;17.02.2020;0;0;0;0;0;0
Бутан;17.03.2020;1;0;0;0;0;0
Бутан;17.04.2020;5;2;0;0;0;0
Бутан;18.02.2020;0;0;0;0;0;0
Бутан;18.03.2020;1;0;0;0;0;0
Бутан;18.04.2020;5;2;0;0;0;0
Бутан;19.02.2020;0;0;0;0;0;0
Бутан;19.03.2020;1;0;0;0;0;0
Бутан;19.04.2020;5;2;0;0;0;0
Бутан;20.02.2020;0;0;0;0;0;0
Бутан;20.03.2020;2;0;0;1;0;0
Бутан;20.04.2020;5;2;0;0;0;0
Бутан;21.02.2020;0;0;0;0;0;0
Бутан;21.03.2020;2;0;0;0;0;0
Бутан;21.04.2020;6;2;0;1;0;0
Бутан;22.01.2020;0;0;0;0;0;0
Бутан;22.02.2020;0;0;0;0;0;0
Бутан;22.03.2020;2;0;0;0;0;0
Бутан;22.04.2020;6;2;0;0;0;0
Бутан;23.01.2020;0;0;0;0;0;0
Бутан;23.02.2020;0;0;0;0;0;0
Бутан;23.03.2020;2;0;0;0;0;0
Бутан;23.04.2020;7;3;0;1;1;0
Бутан;24.01.2020;0;0;0;0;0;0
Бутан;24.02.2020;0;0;0;0;0;0
Бутан;24.03.2020;2;0;0;0;0;0
Бутан;24.04.2020;7;3;0;0;0;0
Бутан;25.01.2020;0;0;0;0;0;0
Бутан;25.02.2020;0;0;0;0;0;0
Бутан;25.03.2020;2;0;0;0;0;0
Бутан;25.04.2020;7;3;0;0;0;0
Бутан;26.01.2020;0;0;0;0;0;0
Бутан;26.02.2020;0;0;0;0;0;0
Бутан;26.03.2020;2;0;0;0;0;0
Бутан;26.04.2020;7;4;0;0;1;0
Бутан;27.01.2020;0;0;0;0;0;0
Бутан;27.02.2020;0;0;0;0;0;0
Бутан;27.03.2020;3;0;0;1;0;0
Бутан;27.04.2020;7;4;0;0;0;0
Бутан;28.01.2020;0;0;0;0;0;0
Бутан;28.02.2020;0;0;0;0;0;0
Бутан;28.03.2020;3;0;0;0;0;0
Бутан;28.04.2020;7;5;0;0;1;0
Бутан;29.01.2020;0;0;0;0;0;0
Бутан;29.02.2020;0;0;0;0;0;0
Бутан;29.03.2020;4;0;0;1;0;0
Бутан;29.04.2020;7;5;0;0;0;0
Бутан;30.01.2020;0;0;0;0;0;0
Бутан;30.03.2020;4;0;0;0;0;0
Бутан;31.01.2020;0;0;0;0;0;0
Бутан;31.03.2020;4;0;0;0;0;0
Великобритания;01.02.2020;2;0;0;0;0;0
Великобритания;01.03.2020;36;8;0;13;0;0
Великобритания;01.04.2020;29865;179;2357;4384;0;564
Великобритания;02.02.2020;2;0;0;0;0;0
Великобритания;02.03.2020;40;8;0;4;0;0
Великобритания;02.04.2020;34173;192;2926;4308;13;569
Великобритания;03.02.2020;2;0;0;0;0;0
Великобритания;03.03.2020;51;8;0;11;0;0
Великобритания;03.04.2020;38689;208;3611;4516;16;685
Великобритания;04.02.2020;2;0;0;0;0;0
Великобритания;04.03.2020;86;8;0;35;0;0
Великобритания;04.04.2020;42477;215;4320;3788;7;709
Великобритания;05.02.2020;2;0;0;0;0;0
Великобритания;05.03.2020;116;8;1;30;0;1
Великобритания;05.04.2020;48436;229;4943;5959;14;623
Великобритания;06.02.2020;2;0;0;0;0;0
Великобритания;06.03.2020;164;8;2;48;0;1
Великобритания;06.04.2020;52279;287;5385;3843;58;442
Великобритания;07.02.2020;3;0;0;1;0;0
Великобритания;07.03.2020;207;18;2;43;10;0
Великобритания;07.04.2020;55949;325;6171;3670;38;786
Великобритания;08.02.2020;3;0;0;0;0;0
Великобритания;08.03.2020;274;18;3;67;0;1
Великобритания;08.04.2020;61474;345;7111;5525;20;940
Великобритания;09.02.2020;3;0;0;0;0;0
Великобритания;09.03.2020;322;18;4;48;0;1
Великобритания;09.04.2020;65872;359;7993;4398;14;882
Великобритания;10.02.2020;8;0;0;5;0;0
Великобритания;10.03.2020;384;19;6;62;1;2
Великобритания;10.04.2020;74605;588;8974;8733;229;981
Великобритания;11.02.2020;8;0;0;0;0;0
Великобритания;11.03.2020;459;19;8;75;0;2
Великобритания;11.04.2020;79874;622;9892;5269;34;918
Великобритания;12.02.2020;9;1;0;1;1;0
Великобритания;12.03.2020;459;19;8;0;0;0
Великобритания;12.04.2020;85206;626;10629;5332;4;737
Великобритания;13.02.2020;9;1;0;0;0;0
Великобритания;13.03.2020;802;19;8;343;0;0
Великобритания;13.04.2020;89570;304;11347;4364;-322;718
Великобритания;14.02.2020;9;1;0;0;0;0
Великобритания;14.03.2020;1144;19;21;342;0;13
Великобритания;14.04.2020;94845;323;12129;5275;19;782
Великобритания;15.02.2020;9;1;0;0;0;0
Великобритания;15.03.2020;1145;19;21;1;0;0
Великобритания;15.04.2020;99483;368;12894;4638;45;765
Великобритания;16.02.2020;9;8;0;0;7;0
Великобритания;16.03.2020;1551;21;56;406;2;35
Великобритания;16.04.2020;104145;375;13759;4662;7;865
Великобритания;17.02.2020;9;8;0;0;0;0
Великобритания;17.03.2020;1960;53;56;409;32;0
Великобритания;17.04.2020;109769;394;14607;5624;19;848
Великобритания;18.02.2020;9;8;0;0;0;0
Великобритания;18.03.2020;2642;67;72;682;14;16
Великобритания;18.04.2020;115314;414;15498;5545;20;891
Великобритания;19.02.2020;9;8;0;0;0;0
Великобритания;19.03.2020;2716;67;138;74;0;66
Великобритания;19.04.2020;121172;436;16095;5858;22;597
Великобритания;20.02.2020;9;8;0;0;0;0
Великобритания;20.03.2020;4014;67;178;1298;0;40
Великобритания;20.04.2020;125856;446;16550;4684;10;455
Великобритания;21.02.2020;9;8;0;0;0;0
Великобритания;21.03.2020;5067;67;234;1053;0;56
Великобритания;21.04.2020;130172;638;17378;4316;192;828
Великобритания;22.01.2020;0;0;0;0;0;0
Великобритания;22.02.2020;9;8;0;0;0;0
Великобритания;22.03.2020;5745;67;282;678;0;48
Великобритания;22.04.2020;134638;683;18151;4466;45;773
Великобритания;23.01.2020;0;0;0;0;0;0
Великобритания;23.02.2020;9;8;0;0;0;0
Великобритания;23.03.2020;6726;67;336;981;0;54
Великобритания;23.04.2020;139246;712;18791;4608;29;640
Великобритания;24.01.2020;0;0;0;0;0;0
Великобритания;24.02.2020;13;8;0;4;0;0
Великобритания;24.03.2020;8164;140;423;1438;73;87
Великобритания;24.04.2020;144640;724;19567;5394;12;776
Великобритания;25.01.2020;0;0;0;0;0;0
Великобритания;25.02.2020;13;8;0;0;0;0
Великобритания;25.03.2020;9640;140;466;1476;0;43
Великобритания;25.04.2020;149569;774;20381;4929;50;814
Великобритания;26.01.2020;0;0;0;0;0;0
Великобритания;26.02.2020;13;8;0;0;0;0
Великобритания;26.03.2020;11812;150;580;2172;10;114
Великобритания;26.04.2020;154037;778;20794;4468;4;413
Великобритания;27.01.2020;0;0;0;0;0;0
Великобритания;27.02.2020;15;8;0;2;0;0
Великобритания;27.03.2020;14745;151;761;2933;1;181
Великобритания;27.04.2020;158348;807;21157;4311;29;363
Великобритания;28.01.2020;0;0;0;0;0;0
Великобритания;28.02.2020;20;8;0;5;0;0
Великобритания;28.03.2020;17312;151;1021;2567;0;260
Великобритания;28.04.2020;162350;813;21745;4002;6;588
Великобритания;29.01.2020;0;0;0;0;0;0
Великобритания;29.02.2020;23;8;0;3;0;0
Великобритания;29.03.2020;19780;151;1231;2468;0;210
Великобритания;29.04.2020;166441;857;26166;4091;44;4421
Великобритания;30.01.2020;0;0;0;0;0;0
Великобритания;30.03.2020;22453;171;1411;2673;20;180
Великобритания;31.01.2020;2;0;0;2;0;0
Великобритания;31.03.2020;25481;179;1793;3028;8;382
Венгрия;01.02.2020;0;0;0;0;0;0
Венгрия;01.03.2020;0;0;0;0;0;0
Венгрия;01.04.2020;525;40;20;33;3;4
Венгрия;02.02.2020;0;0;0;0;0;0
Венгрия;02.03.2020;0;0;0;0;0;0
Венгрия;02.04.2020;585;42;21;60;2;1
Венгрия;03.02.2020;0;0;0;0;0;0
Венгрия;03.03.2020;0;0;0;0;0;0
Венгрия;03.04.2020;623;43;26;38;1;5
Венгрия;04.02.2020;0;0;0;0;0;0
Венгрия;04.03.2020;2;0;0;2;0;0
Венгрия;04.04.2020;678;58;32;55;15;6
Венгрия;05.02.2020;0;0;0;0;0;0
Венгрия;05.03.2020;2;0;0;0;0;0
Венгрия;05.04.2020;733;66;34;55;8;2
Венгрия;06.02.2020;0;0;0;0;0;0
Венгрия;06.03.2020;2;0;0;0;0;0
Венгрия;06.04.2020;744;67;38;11;1;4
Венгрия;07.02.2020;0;0;0;0;0;0
Венгрия;07.03.2020;4;0;0;2;0;0
Венгрия;07.04.2020;817;71;47;73;4;9
Венгрия;08.02.2020;0;0;0;0;0;0
Венгрия;08.03.2020;7;0;0;3;0;0
Венгрия;08.04.2020;895;94;58;78;23;11
Венгрия;09.02.2020;0;0;0;0;0;0
Венгрия;09.03.2020;9;0;0;2;0;0
Венгрия;09.04.2020;980;96;66;85;2;8
Венгрия;10.02.2020;0;0;0;0;0;0
Венгрия;10.03.2020;9;0;0;0;0;0
Венгрия;10.04.2020;1190;112;77;210;16;11
Венгрия;11.02.2020;0;0;0;0;0;0
Венгрия;11.03.2020;13;0;0;4;0;0
Венгрия;11.04.2020;1310;115;85;120;3;8
Венгрия;12.02.2020;0;0;0;0;0;0
Венгрия;12.03.2020;13;0;0;0;0;0
Венгрия;12.04.2020;1410;118;99;100;3;14
Венгрия;13.02.2020;0;0;0;0;0;0
Венгрия;13.03.2020;19;0;0;6;0;0
Венгрия;13.04.2020;1458;120;109;48;2;10
Венгрия;14.02.2020;0;0;0;0;0;0
Венгрия;14.03.2020;30;1;0;11;1;0
Венгрия;14.04.2020;1512;122;122;54;2;13
Венгрия;15.02.2020;0;0;0;0;0;0
Венгрия;15.03.2020;32;1;1;2;0;1
Венгрия;15.04.2020;1579;192;134;67;70;12
Венгрия;16.02.2020;0;0;0;0;0;0
Венгрия;16.03.2020;39;1;1;7;0;0
Венгрия;16.04.2020;1652;199;142;73;7;8
Венгрия;17.02.2020;0;0;0;0;0;0
Венгрия;17.03.2020;50;2;1;11;1;0
Венгрия;17.04.2020;1763;207;156;111;8;14
Венгрия;18.02.2020;0;0;0;0;0;0
Венгрия;18.03.2020;58;2;1;8;0;0
Венгрия;18.04.2020;1834;231;172;71;24;16
Венгрия;19.02.2020;0;0;0;0;0;0
Венгрия;19.03.2020;73;2;1;15;0;0
Венгрия;19.04.2020;1916;250;189;82;19;17
Венгрия;20.02.2020;0;0;0;0;0;0
Венгрия;20.03.2020;85;2;3;12;0;2
Венгрия;20.04.2020;1984;267;199;68;17;10
Венгрия;21.02.2020;0;0;0;0;0;0
Венгрия;21.03.2020;103;7;4;18;5;1
Венгрия;21.04.2020;2098;287;213;114;20;14
Венгрия;22.01.2020;0;0;0;0;0;0
Венгрия;22.02.2020;0;0;0;0;0;0
Венгрия;22.03.2020;131;16;6;28;9;2
Венгрия;22.04.2020;2168;295;225;70;8;12
Венгрия;23.01.2020;0;0;0;0;0;0
Венгрия;23.02.2020;0;0;0;0;0;0
Венгрия;23.03.2020;167;16;7;36;0;1
Венгрия;23.04.2020;2284;390;239;116;95;14
Венгрия;24.01.2020;0;0;0;0;0;0
Венгрия;24.02.2020;0;0;0;0;0;0
Венгрия;24.03.2020;187;21;9;20;5;2
Венгрия;24.04.2020;2443;458;262;159;68;23
Венгрия;25.01.2020;0;0;0;0;0;0
Венгрия;25.02.2020;0;0;0;0;0;0
Венгрия;25.03.2020;226;21;10;39;0;1
Венгрия;25.04.2020;2443;458;262;0;0;0
Венгрия;26.01.2020;0;0;0;0;0;0
Венгрия;26.02.2020;0;0;0;0;0;0
Венгрия;26.03.2020;261;28;10;35;7;0
Венгрия;26.04.2020;2500;485;272;57;27;10
Венгрия;27.01.2020;0;0;0;0;0;0
Венгрия;27.02.2020;0;0;0;0;0;0
Венгрия;27.03.2020;300;34;10;39;6;0
Венгрия;27.04.2020;2583;498;280;83;13;8
Венгрия;28.01.2020;0;0;0;0;0;0
Венгрия;28.02.2020;0;0;0;0;0;0
Венгрия;28.03.2020;343;34;11;43;0;1
Венгрия;28.04.2020;2649;516;291;66;18;11
Венгрия;29.01.2020;0;0;0;0;0;0
Венгрия;29.02.2020;0;0;0;0;0;0
Венгрия;29.03.2020;408;34;13;65;0;2
Венгрия;29.04.2020;2727;536;300;78;20;9
Венгрия;30.01.2020;0;0;0;0;0;0
Венгрия;30.03.2020;447;34;15;39;0;2
Венгрия;31.01.2020;0;0;0;0;0;0
Венгрия;31.03.2020;492;37;16;45;3;1
Венесуэла;01.02.2020;0;0;0;0;0;0
Венесуэла;01.03.2020;0;0;0;0;0;0
Венесуэла;01.04.2020;143;41;3;8;2;0
Венесуэла;02.02.2020;0;0;0;0;0;0
Венесуэла;02.03.2020;0;0;0;0;0;0
Венесуэла;02.04.2020;146;43;5;3;2;2
Венесуэла;03.02.2020;0;0;0;0;0;0
Венесуэла;03.03.2020;0;0;0;0;0;0
Венесуэла;03.04.2020;153;52;7;7;9;2
Венесуэла;04.02.2020;0;0;0;0;0;0
Венесуэла;04.03.2020;0;0;0;0;0;0
Венесуэла;04.04.2020;155;52;7;2;0;0
Венесуэла;05.02.2020;0;0;0;0;0;0
Венесуэла;05.03.2020;0;0;0;0;0;0
Венесуэла;05.04.2020;159;52;7;4;0;0
Венесуэла;06.02.2020;0;0;0;0;0;0
Венесуэла;06.03.2020;0;0;0;0;0;0
Венесуэла;06.04.2020;165;65;7;6;13;0
Венесуэла;07.02.2020;0;0;0;0;0;0
Венесуэла;07.03.2020;0;0;0;0;0;0
Венесуэла;07.04.2020;165;65;7;0;0;0
Венесуэла;08.02.2020;0;0;0;0;0;0
Венесуэла;08.03.2020;0;0;0;0;0;0
Венесуэла;08.04.2020;167;65;9;2;0;2
Венесуэла;09.02.2020;0;0;0;0;0;0
Венесуэла;09.03.2020;0;0;0;0;0;0
Венесуэла;09.04.2020;171;84;9;4;19;0
Венесуэла;10.02.2020;0;0;0;0;0;0
Венесуэла;10.03.2020;0;0;0;0;0;0
Венесуэла;10.04.2020;171;84;9;0;0;0
Венесуэла;11.02.2020;0;0;0;0;0;0
Венесуэла;11.03.2020;0;0;0;0;0;0
Венесуэла;11.04.2020;175;93;9;4;9;0
Венесуэла;12.02.2020;0;0;0;0;0;0
Венесуэла;12.03.2020;0;0;0;0;0;0
Венесуэла;12.04.2020;181;93;9;6;0;0
Венесуэла;13.02.2020;0;0;0;0;0;0
Венесуэла;13.03.2020;0;0;0;0;0;0
Венесуэла;13.04.2020;189;110;9;8;17;0
Венесуэла;14.02.2020;0;0;0;0;0;0
Венесуэла;14.03.2020;2;0;0;2;0;0
Венесуэла;14.04.2020;189;110;9;0;0;0
Венесуэла;15.02.2020;0;0;0;0;0;0
Венесуэла;15.03.2020;10;0;0;8;0;0
Венесуэла;15.04.2020;197;111;9;8;1;0
Венесуэла;16.02.2020;0;0;0;0;0;0
Венесуэла;16.03.2020;17;0;0;7;0;0
Венесуэла;16.04.2020;204;111;9;7;0;0
Венесуэла;17.02.2020;0;0;0;0;0;0
Венесуэла;17.03.2020;33;0;0;16;0;0
Венесуэла;17.04.2020;204;111;9;0;0;0
Венесуэла;18.02.2020;0;0;0;0;0;0
Венесуэла;18.03.2020;36;0;0;3;0;0
Венесуэла;18.04.2020;227;113;9;23;2;0
Венесуэла;19.02.2020;0;0;0;0;0;0
Венесуэла;19.03.2020;42;0;0;6;0;0
Венесуэла;19.04.2020;256;117;9;29;4;0
Венесуэла;20.02.2020;0;0;0;0;0;0
Венесуэла;20.03.2020;42;0;0;0;0;0
Венесуэла;20.04.2020;256;117;9;0;0;0
Венесуэла;21.02.2020;0;0;0;0;0;0
Венесуэла;21.03.2020;70;0;0;28;0;0
Венесуэла;21.04.2020;285;117;10;29;0;1
Венесуэла;22.01.2020;0;0;0;0;0;0
Венесуэла;22.02.2020;0;0;0;0;0;0
Венесуэла;22.03.2020;70;15;0;0;15;0
Венесуэла;22.04.2020;288;122;10;3;5;0
Венесуэла;23.01.2020;0;0;0;0;0;0
Венесуэла;23.02.2020;0;0;0;0;0;0
Венесуэла;23.03.2020;77;15;0;7;0;0
Венесуэла;23.04.2020;311;126;10;23;4;0
Венесуэла;24.01.2020;0;0;0;0;0;0
Венесуэла;24.02.2020;0;0;0;0;0;0
Венесуэла;24.03.2020;84;15;0;7;0;0
Венесуэла;24.04.2020;318;132;10;7;6;0
Венесуэла;25.01.2020;0;0;0;0;0;0
Венесуэла;25.02.2020;0;0;0;0;0;0
Венесуэла;25.03.2020;91;15;0;7;0;0
Венесуэла;25.04.2020;323;132;10;5;0;0
Венесуэла;26.01.2020;0;0;0;0;0;0
Венесуэла;26.02.2020;0;0;0;0;0;0
Венесуэла;26.03.2020;107;15;0;16;0;0
Венесуэла;26.04.2020;325;137;10;2;5;0
Венесуэла;27.01.2020;0;0;0;0;0;0
Венесуэла;27.02.2020;0;0;0;0;0;0
Венесуэла;27.03.2020;107;31;1;0;16;1
Венесуэла;27.04.2020;329;142;10;4;5;0
Венесуэла;28.01.2020;0;0;0;0;0;0
Венесуэла;28.02.2020;0;0;0;0;0;0
Венесуэла;28.03.2020;119;39;2;12;8;1
Венесуэла;28.04.2020;329;142;10;0;0;0
Венесуэла;29.01.2020;0;0;0;0;0;0
Венесуэла;29.02.2020;0;0;0;0;0;0
Венесуэла;29.03.2020;119;39;2;0;0;0
Венесуэла;29.04.2020;331;142;10;2;0;0
Венесуэла;30.01.2020;0;0;0;0;0;0
Венесуэла;30.03.2020;135;39;3;16;0;1
Венесуэла;31.01.2020;0;0;0;0;0;0
Венесуэла;31.03.2020;135;39;3;0;0;0
Восточный Тимор;01.02.2020;0;0;0;0;0;0
Восточный Тимор;01.03.2020;0;0;0;0;0;0
Восточный Тимор;01.04.2020;1;0;0;0;0;0
Восточный Тимор;02.02.2020;0;0;0;0;0;0
Восточный Тимор;02.03.2020;0;0;0;0;0;0
Восточный Тимор;02.04.2020;1;0;0;0;0;0
Восточный Тимор;03.02.2020;0;0;0;0;0;0
Восточный Тимор;03.03.2020;0;0;0;0;0;0
Восточный Тимор;03.04.2020;1;0;0;0;0;0
Восточный Тимор;04.02.2020;0;0;0;0;0;0
Восточный Тимор;04.03.2020;0;0;0;0;0;0
Восточный Тимор;04.04.2020;1;0;0;0;0;0
Восточный Тимор;05.02.2020;0;0;0;0;0;0
Восточный Тимор;05.03.2020;0;0;0;0;0;0
Восточный Тимор;05.04.2020;1;0;0;0;0;0
Восточный Тимор;06.02.2020;0;0;0;0;0;0
Восточный Тимор;06.03.2020;0;0;0;0;0;0
Восточный Тимор;06.04.2020;1;0;0;0;0;0
Восточный Тимор;07.02.2020;0;0;0;0;0;0
Восточный Тимор;07.03.2020;0;0;0;0;0;0
Восточный Тимор;07.04.2020;1;0;0;0;0;0
Восточный Тимор;08.02.2020;0;0;0;0;0;0
Восточный Тимор;08.03.2020;0;0;0;0;0;0
Восточный Тимор;08.04.2020;1;0;0;0;0;0
Восточный Тимор;09.02.2020;0;0;0;0;0;0
Восточный Тимор;09.03.2020;0;0;0;0;0;0
Восточный Тимор;09.04.2020;1;0;0;0;0;0
Восточный Тимор;10.02.2020;0;0;0;0;0;0
Восточный Тимор;10.03.2020;0;0;0;0;0;0
Восточный Тимор;10.04.2020;2;1;0;1;1;0
Восточный Тимор;11.02.2020;0;0;0;0;0;0
Восточный Тимор;11.03.2020;0;0;0;0;0;0
Восточный Тимор;11.04.2020;2;1;0;0;0;0
Восточный Тимор;12.02.2020;0;0;0;0;0;0
Восточный Тимор;12.03.2020;0;0;0;0;0;0
Восточный Тимор;12.04.2020;2;1;0;0;0;0
Восточный Тимор;13.02.2020;0;0;0;0;0;0
Восточный Тимор;13.03.2020;0;0;0;0;0;0
Восточный Тимор;13.04.2020;4;1;0;2;0;0
Восточный Тимор;14.02.2020;0;0;0;0;0;0
Восточный Тимор;14.03.2020;0;0;0;0;0;0
Восточный Тимор;14.04.2020;6;1;0;2;0;0
Восточный Тимор;15.02.2020;0;0;0;0;0;0
Восточный Тимор;15.03.2020;0;0;0;0;0;0
Восточный Тимор;15.04.2020;8;1;0;2;0;0
Восточный Тимор;16.02.2020;0;0;0;0;0;0
Восточный Тимор;16.03.2020;0;0;0;0;0;0
Восточный Тимор;16.04.2020;18;1;0;10;0;0
Восточный Тимор;17.02.2020;0;0;0;0;0;0
Восточный Тимор;17.03.2020;0;0;0;0;0;0
Восточный Тимор;17.04.2020;18;1;0;0;0;0
Восточный Тимор;18.02.2020;0;0;0;0;0;0
Восточный Тимор;18.03.2020;0;0;0;0;0;0
Восточный Тимор;18.04.2020;18;1;0;0;0;0
Восточный Тимор;19.02.2020;0;0;0;0;0;0
Восточный Тимор;19.03.2020;0;0;0;0;0;0
Восточный Тимор;19.04.2020;19;1;0;1;0;0
Восточный Тимор;20.02.2020;0;0;0;0;0;0
Восточный Тимор;20.03.2020;0;0;0;0;0;0
Восточный Тимор;20.04.2020;22;1;0;3;0;0
Восточный Тимор;21.02.2020;0;0;0;0;0;0
Восточный Тимор;21.03.2020;0;0;0;0;0;0
Восточный Тимор;21.04.2020;23;1;0;1;0;0
Восточный Тимор;22.01.2020;0;0;0;0;0;0
Восточный Тимор;22.02.2020;0;0;0;0;0;0
Восточный Тимор;22.03.2020;1;0;0;1;0;0
Восточный Тимор;22.04.2020;23;1;0;0;0;0
Восточный Тимор;23.01.2020;0;0;0;0;0;0
Восточный Тимор;23.02.2020;0;0;0;0;0;0
Восточный Тимор;23.03.2020;1;0;0;0;0;0
Восточный Тимор;23.04.2020;23;1;0;0;0;0
Восточный Тимор;24.01.2020;0;0;0;0;0;0
Восточный Тимор;24.02.2020;0;0;0;0;0;0
Восточный Тимор;24.03.2020;1;0;0;0;0;0
Восточный Тимор;24.04.2020;24;2;0;1;1;0
Восточный Тимор;25.01.2020;0;0;0;0;0;0
Восточный Тимор;25.02.2020;0;0;0;0;0;0
Восточный Тимор;25.03.2020;1;0;0;0;0;0
Восточный Тимор;25.04.2020;24;2;0;0;0;0
